Epoch: [2][18/35]	Loss 0.1795 (0.1214)	Acc 0.999 (0.999)
Epoch: [2][19/35]	Loss 0.0617 (0.1182)	Acc 0.999 (0.999)
Epoch: [2][20/35]	Loss 0.0526 (0.1149)	Acc 0.999 (0.999)
Epoch: [2][21/35]	Loss 0.0648 (0.1126)	Acc 1.000 (0.999)
Epoch: [2][22/35]	Loss 0.0355 (0.1091)	Acc 0.999 (0.999)
Epoch: [2][23/35]	Loss 0.2112 (0.1135)	Acc 0.999 (0.999)
Epoch: [2][24/35]	Loss 0.1294 (0.1142)	Acc 0.998 (0.999)
Epoch: [2][25/35]	Loss 0.0530 (0.1117)	Acc 0.999 (0.999)
Epoch: [2][26/35]	Loss 0.1262 (0.1123)	Acc 0.999 (0.999)
Epoch: [2][27/35]	Loss 0.1177 (0.1125)	Acc 0.999 (0.999)
Epoch: [2][28/35]	Loss 0.0409 (0.1099)	Acc 0.999 (0.999)
Epoch: [2][29/35]	Loss 0.0851 (0.1091)	Acc 0.999 (0.999)
Epoch: [2][30/35]	Loss 0.0623 (0.1075)	Acc 0.999 (0.999)
Epoch: [2][31/35]	Loss 0.0549 (0.1058)	Acc 0.999 (0.999)
Epoch: [2][32/35]	Loss 0.1560 (0.1074)	Acc 0.999 (0.999)
Epoch: [2][33/35]	Loss 0.0645 (0.1061)	Acc 0.999 (0.999)
Epoch: [2][34/35]	Loss 0.0735 (0.1051)	Acc 0.999 (0.999)
Epoch: [2][35/35]	Loss 0.0010 (0.1049)	Acc 1.000 (0.999)
Validation: [2][1/12]	Loss 0.0900 (0.0900)	Acc 1.000 (1.000)
Validation: [2][2/12]	Loss 0.1176 (0.1038)	Acc 1.000 (1.000)
Validation: [2][3/12]	Loss 0.1689 (0.1255)	Acc 1.000 (1.000)
Validation: [2][4/12]	Loss 0.1110 (0.1219)	Acc 1.000 (1.000)
Validation: [2][5/12]	Loss 0.1320 (0.1239)	Acc 1.000 (1.000)
Validation: [2][6/12]	Loss 0.2257 (0.1409)	Acc 1.000 (1.000)
Validation: [2][7/12]	Loss 0.1058 (0.1359)	Acc 0.999 (1.000)
Validation: [2][8/12]	Loss 0.0736 (0.1281)	Acc 1.000 (1.000)
Validation: [2][9/12]	Loss 0.1625 (0.1319)	Acc 1.000 (1.000)
Validation: [2][10/12]	Loss 0.1278 (0.1315)	Acc 1.000 (1.000)
Validation: [2][11/12]	Loss 0.2935 (0.1462)	Acc 1.000 (1.000)
Validation: [2][12/12]	Loss 0.1449 (0.1462)	Acc 1.000 (1.000)
Epoch: [3][1/35]	Loss 0.1033 (0.1033)	Acc 1.000 (1.000)
Epoch: [3][2/35]	Loss 0.1854 (0.1444)	Acc 1.000 (1.000)
Epoch: [3][3/35]	Loss 0.0347 (0.1078)	Acc 0.999 (1.000)
Epoch: [3][4/35]	Loss 0.0980 (0.1054)	Acc 0.999 (0.999)
Epoch: [3][5/35]	Loss 0.0448 (0.0933)	Acc 0.999 (0.999)
Epoch: [3][6/35]	Loss 0.0574 (0.0873)	Acc 0.999 (0.999)
Epoch: [3][7/35]	Loss 0.0227 (0.0781)	Acc 0.999 (0.999)
Epoch: [3][8/35]	Loss 0.1427 (0.0861)	Acc 0.999 (0.999)
